,Hobby,Country,Student,FormalEducation,UndergradMajor,DevType,YearsCoding,HoursComputer,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Dependents,Continent,Age,ConvertedSalary,HDI,GDP,GINI
2599,Yes,Canada,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Full-stack developer,6-8 years,5 - 8 hours,3 - 4 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,No,North America,18 - 24 years old,50728,High,Medium,Medium
2600,Yes,United States,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Back-end developer,18-20 years,5 - 8 hours,1 - 2 times per week,Male,Bisexual or Queer,"Other doctoral degree (Ph.D, Ed.D., etc.)",Black or of African descent,No,North America,35 - 44 years old,110000,High,High,High
2602,Yes,Spain,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Mobile developer,6-8 years,5 - 8 hours,3 - 4 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Hispanic or Latino/Latina,No,EU,18 - 24 years old,8520,High,Medium,Medium
2603,No,United States,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Back-end developer,21-23 years,9 - 12 hours,1 - 2 times per week,Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",White or of European descent,No,North America,18 - 24 years old,85000,High,High,High
2604,Yes,United States,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Database administrator,3-5 years,9 - 12 hours,1 - 2 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,No,North America,18 - 24 years old,65000,High,High,High
2605,No,United Kingdom,"Yes, full-time",Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",Back-end developer,3-5 years,5 - 8 hours,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,No,EU,18 - 24 years old,23614,High,Medium,Medium
2607,Yes,United States,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Full-stack developer,18-20 years,5 - 8 hours,Daily or almost every day,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,No,North America,45 - 54 years old,94000,High,High,High
2609,No,Turkey,"Yes, part-time","Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)",Back-end developer,9-11 years,9 - 12 hours,I don't typically exercise,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Middle Eastern,Yes,AS,25 - 34 years old,11124,Medium,Low,High
2610,No,United States,No,Some college/university study without earning a degree,"A humanities discipline (ex. literature, history, philosophy)",DevOps specialist,18-20 years,9 - 12 hours,1 - 2 times per week,Male,Straight or heterosexual,"Other doctoral degree (Ph.D, Ed.D., etc.)",East Asian,No,North America,35 - 44 years old,85000,High,High,High
2611,No,Canada,"Yes, full-time","Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Educator or academic researcher,3-5 years,5 - 8 hours,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,No,North America,18 - 24 years old,11273,High,Medium,Medium
2615,Yes,United Kingdom,No,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Back-end developer,6-8 years,Over 12 hours,1 - 2 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,No,EU,18 - 24 years old,83342,High,Medium,Medium
2616,Yes,Switzerland,"Yes, full-time","Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Data scientist or machine learning specialist,15-17 years,9 - 12 hours,3 - 4 times per week,Male,Straight or heterosexual,"Other doctoral degree (Ph.D, Ed.D., etc.)",White or of European descent,No,EU,25 - 34 years old,70903,High,Medium,Low
2617,Yes,Australia,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",Designer,6-8 years,9 - 12 hours,Daily or almost every day,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,No,OC,25 - 34 years old,75975,High,Medium,Medium
2618,Yes,United States,No,"Other doctoral degree (Ph.D, Ed.D., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",Data or business analyst,6-8 years,5 - 8 hours,Daily or almost every day,Male,Straight or heterosexual,"Other doctoral degree (Ph.D, Ed.D., etc.)",South Asian,No,North America,25 - 34 years old,137000,High,High,High
2619,Yes,Canada,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Full-stack developer,18-20 years,9 - 12 hours,3 - 4 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,Yes,North America,35 - 44 years old,80521,High,Medium,Medium
2620,Yes,Italy,No,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Computer science, computer engineering, or software engineering",Front-end developer,0-2 years,Over 12 hours,I don't typically exercise,Non-Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",White or of European descent,No,EU,25 - 34 years old,28149,High,Medium,Medium
2622,Yes,United States,No,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",Back-end developer,18-20 years,Over 12 hours,3 - 4 times per week,Male,Straight or heterosexual,Some college/university study without earning a degree,White or of European descent,No,North America,45 - 54 years old,100000,High,High,High
2623,Yes,Canada,No,Some college/university study without earning a degree,Web development or web design,Back-end developer,15-17 years,9 - 12 hours,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Hispanic or Latino/Latina,Yes,North America,35 - 44 years old,32209,High,Medium,Medium
2626,Yes,India,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Back-end developer,3-5 years,9 - 12 hours,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,No,AS,18 - 24 years old,11268,Medium,Low,High
2628,Yes,Italy,No,"Other doctoral degree (Ph.D, Ed.D., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",Mobile developer,12-14 years,9 - 12 hours,1 - 2 times per week,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,Yes,EU,35 - 44 years old,48955,High,Medium,Medium
2629,No,France,No,"Professional degree (JD, MD, etc.)","Computer science, computer engineering, or software engineering",Back-end developer,12-14 years,9 - 12 hours,I don't typically exercise,Male,Straight or heterosexual,"Professional degree (JD, MD, etc.)",White or of European descent,Yes,EU,25 - 34 years old,44064,High,Medium,Medium
2631,Yes,United States,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Back-end developer,3-5 years,9 - 12 hours,3 - 4 times per week,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,Yes,North America,25 - 34 years old,80000,High,High,High
2632,Yes,Spain,No,Primary/elementary school,"Computer science, computer engineering, or software engineering","C-suite executive (CEO, CTO, etc.)",21-23 years,5 - 8 hours,I don't typically exercise,Male,Straight or heterosexual,Associate degree,White or of European descent,Yes,EU,35 - 44 years old,31042,High,Medium,Medium
2633,Yes,Italy,No,Some college/university study without earning a degree,"A natural science (ex. biology, chemistry, physics)",Back-end developer,9-11 years,9 - 12 hours,I don't typically exercise,Male,Straight or heterosexual,Some college/university study without earning a degree,White or of European descent,No,EU,25 - 34 years old,30597,High,Medium,Medium
2635,Yes,United Kingdom,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Back-end developer,12-14 years,9 - 12 hours,1 - 2 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,No,EU,25 - 34 years old,83342,High,Medium,Medium
2636,No,United States,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Full-stack developer,6-8 years,9 - 12 hours,3 - 4 times per week,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,No,North America,25 - 34 years old,71000,High,High,High
2637,Yes,United States,No,Some college/university study without earning a degree,"A natural science (ex. biology, chemistry, physics)",Back-end developer,18-20 years,9 - 12 hours,3 - 4 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,Yes,North America,35 - 44 years old,95000,High,High,High
2638,No,United States,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",Back-end developer,24-26 years,5 - 8 hours,3 - 4 times per week,Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",White or of European descent,Yes,North America,45 - 54 years old,130000,High,High,High
2639,Yes,Austria,"Yes, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Computer science, computer engineering, or software engineering",Back-end developer,3-5 years,9 - 12 hours,1 - 2 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,No,EU,18 - 24 years old,469968,High,Medium,Low
2640,Yes,Germany,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,Full-stack developer,27-29 years,9 - 12 hours,1 - 2 times per week,Male,Straight or heterosexual,Primary/elementary school,White or of European descent,No,EU,35 - 44 years old,1000000,High,Medium,Medium
2641,No,Canada,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,Full-stack developer,6-8 years,9 - 12 hours,Daily or almost every day,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,No,North America,25 - 34 years old,483132,High,Medium,Medium
2642,Yes,Canada,No,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",Full-stack developer,0-2 years,9 - 12 hours,I don't typically exercise,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,No,North America,18 - 24 years old,434820,High,Medium,Medium
